filename,attack
11111111_LG_I1_Live_L_D1_1.JPG,0
11111111_LG_I1_Live_L_D1_2.JPG,0
11111111_LG_I1_Live_L_D1_3.JPG,0
11111111_LG_I1_Live_L_D2_1.JPG,0
11111111_LG_I1_Live_L_D2_2.JPG,0
11111111_LG_I1_Live_L_D2_3.JPG,0
11111111_LG_I1_Live_L_U1_1.JPG,0
11111111_LG_I1_Live_L_U1_2.JPG,0
11111111_LG_I1_Live_L_U1_3.JPG,0
11111111_LG_I1_Live_L_U2_1.JPG,0
11111111_LG_I1_Live_L_U2_2.JPG,0
11111111_LG_I1_Live_L_U2_3.JPG,0
11111111_LG_I1_Live_R_D1_1.JPG,0
11111111_LG_I1_Live_R_D1_2.JPG,0
11111111_LG_I1_Live_R_D1_3.JPG,0
11111111_LG_I1_Live_R_D2_1.JPG,0
11111111_LG_I1_Live_R_D2_2.JPG,0
11111111_LG_I1_Live_R_D2_3.JPG,0
11111111_LG_I1_Live_R_U1_1.JPG,0
11111111_LG_I1_Live_R_U1_2.JPG,0
11111111_LG_I1_Live_R_U1_3.JPG,0
11111111_LG_I1_Live_R_U2_1.JPG,0
11111111_LG_I1_Live_R_U2_2.JPG,0
11111111_LG_I1_Live_R_U2_3.JPG,0
11111111_LG_I2_Live_L_D1_1.JPG,0
11111111_LG_I2_Live_L_D1_2.JPG,0
11111111_LG_I2_Live_L_D1_3.JPG,0
11111111_LG_I2_Live_L_D2_1.JPG,0
11111111_LG_I2_Live_L_D2_2.JPG,0
11111111_LG_I2_Live_L_D2_3.JPG,0
11111111_LG_I2_Live_L_U1_1.JPG,0
11111111_LG_I2_Live_L_U1_2.JPG,0
11111111_LG_I2_Live_L_U1_3.JPG,0
11111111_LG_I2_Live_L_U2_1.JPG,0
11111111_LG_I2_Live_L_U2_2.JPG,0
11111111_LG_I2_Live_L_U2_3.JPG,0
11111111_LG_I2_Live_R_D1_1.JPG,0
11111111_LG_I2_Live_R_D1_2.JPG,0
11111111_LG_I2_Live_R_D1_3.JPG,0
11111111_LG_I2_Live_R_D2_1.JPG,0
11111111_LG_I2_Live_R_D2_2.JPG,0
11111111_LG_I2_Live_R_D2_3.JPG,0
11111111_LG_I2_Live_R_U1_1.JPG,0
11111111_LG_I2_Live_R_U1_2.JPG,0
11111111_LG_I2_Live_R_U1_3.JPG,0
11111111_LG_I2_Live_R_U2_1.JPG,0
11111111_LG_I2_Live_R_U2_2.JPG,0
11111111_LG_I2_Live_R_U2_3.JPG,0
11111111_LG_I3_Live_L_D1_1.JPG,0
11111111_LG_I3_Live_L_D1_2.JPG,0
11111111_LG_I3_Live_L_D1_3.JPG,0
11111111_LG_I3_Live_L_D2_1.JPG,0
11111111_LG_I3_Live_L_D2_2.JPG,0
11111111_LG_I3_Live_L_D2_3.JPG,0
11111111_LG_I3_Live_L_U1_1.JPG,0
11111111_LG_I3_Live_L_U1_2.JPG,0
11111111_LG_I3_Live_L_U1_3.JPG,0
11111111_LG_I3_Live_L_U2_1.JPG,0
11111111_LG_I3_Live_L_U2_2.JPG,0
11111111_LG_I3_Live_L_U2_3.JPG,0
11111111_LG_I3_Live_R_D1_1.JPG,0
11111111_LG_I3_Live_R_D1_2.JPG,0
11111111_LG_I3_Live_R_D1_3.JPG,0
11111111_LG_I3_Live_R_D2_1.JPG,0
11111111_LG_I3_Live_R_D2_2.JPG,0
11111111_LG_I3_Live_R_D2_3.JPG,0
11111111_LG_I3_Live_R_U1_1.JPG,0
