sequenceid,xp,yp,rp,xi,yi,ri
04261d2182,317.653083786617,241.999378522174,34.3007220844264,323.766598506933,244.27315313184,118.785536792541
04261d2185,311.425160420002,245.740188189182,38.0810409500469,317.699877489976,249.994598177557,124.051149946943
04261d2205,320.60598239973,233.732245876259,35.8654230536531,325.887698796008,231.241583087358,125.359281703656
04261d2213,309.47648919925,237.42506136755,29.3183643161446,318.113009916303,235.285312536594,114.563564912771
04261d2219,314.91582411024,239.596388731431,34.8364507233713,321.796328838603,244.480409895223,123.052342702469
04261d2227,316.082052277867,234.736394772858,35.7366063779223,322.863989685315,238.915292666177,123.402456644469
04261d2234,316.266533241697,237.49176224446,34.6828946526882,322.46546488727,243.109828203431,120.681156699794
04261d2242,318.900366906806,235.785633395978,36.9155704546497,325.636399607064,235.598280149292,127.725346408578
04261d2245,318.203732671873,233.580094006545,35.6527586146554,324.296840346563,229.271034287603,123.857264878096
04261d2250,317.251522145486,238.299419104413,39.5566696913148,325.682656728011,247.572393073206,127.465633936601
04261d2260,325.316381942039,237.020643897896,37.3415676626924,320.966333312517,238.37586110944,120.537927944528
04261d2267,322.75946348805,237.909365418389,38.7140365747895,322.200617462651,250.025995404826,120.853392059357
04261d2274,322.147018013957,239.259657177117,31.8216910810878,318.826525658666,246.527915588044,109.381734757761
04261d2279,322.746635126022,237.711076764725,36.90936184512,321.143291272138,251.791034391808,114.220925054404
04261d2285,325.380004614457,235.852021272475,35.5233605106139,318.943729835581,240.268401992113,121.815519880797
04261d2287,323.406055477347,235.151517983899,39.7185561361928,314.171236675361,233.592551375395,128.785311487436
04261d2289,325.861508329862,235.032818261296,35.4579514709161,321.783015306328,244.630731343453,110.107835387902
04261d2300,325.779239393861,235.090289464551,37.3223870710924,320.882005297235,237.544800108273,120.026948099142
04261d2309,322.827507565536,236.098857026634,40.8313184812338,317.747722374538,238.67450704857,135.562221907914
04261d2312,322.477418132505,242.988700852395,34.1465075385472,315.924224473606,243.014807925412,127.897362371099
04261d2662,320.286992654431,234.762154003843,38.0404385165599,325.590158912755,238.66144033681,125.260930915908
04261d2680,317.729353746306,240.50262690949,34.9341024874402,324.436395339734,243.857522676021,117.144362686897
04261d2696,314.620628867329,236.881368823822,41.0117928090573,323.181099863254,242.055003669411,132.778367257722
04261d2699,314.793133806611,238.159544997444,36.3909510889081,322.322479164121,242.241647722601,121.974828788127
04261d2702,317.053107919838,234.695139355541,37.7312941557977,323.855866012813,238.522209153776,124.916221509676
04261d2708,316.746835201574,234.078117907102,38.367528631518,324.787637250372,239.047292970125,131.156788690932
04261d2722,318.048942770345,234.766194602816,36.8320429714998,324.851878566254,240.561403601387,127.556073483879
04261d2730,318.299210991995,237.188175981787,35.4841133042828,326.365793703114,245.849856983785,117.725834183779
04261d2731,321.848858273996,236.559616504674,42.8495434839574,329.477028011898,248.909244251064,142.459590046862
04261d2734,323.185889627965,236.10064911681,40.982627104512,317.958785542649,233.071234512033,119.760453167221
04261d2743,321.600271616,235.285249854242,38.3994292492742,314.092159480745,242.336849127511,117.254367376532
04261d2745,330.175322920862,232.335527988844,40.3591275405718,318.77229901725,229.87839497814,129.421064801806
04261d2751,321.932053311579,233.767783633276,40.640807081272,315.434393057193,237.058147241896,125.763365767554
04261d2755,321.495301445973,238.781932383374,37.9064157449741,315.651068542122,238.572708399502,121.897713981671
04261d2758,319.980451691491,233.261640222947,37.5443403194305,311.539945690924,236.255901630219,122.691393060236
04261d2762,319.751189456588,238.815433515515,36.2702634703106,313.320311236982,244.746176160581,115.3972595907
04261d2763,324.022194349847,237.45973814069,35.4619552435559,319.390538515333,246.557448867281,114.476085365765
04261d2769,324.488319354105,238.429026476252,41.6359478090257,318.612788331724,243.533092753294,131.117303371207
04261d2770,320.034822125762,231.811392730061,37.801719612893,314.806417939382,231.895246887736,123.071389448007
04261d2778,326.562973233148,238.12164675297,41.280430924266,320.080204771336,238.140630667005,130.87033641305
04261d2783,315.02667204078,234.328047940269,37.1726213643868,310.301678022869,240.791007518679,117.970160482537
04261d2789,327.418619671587,238.73454082972,41.5693589193231,321.313896812261,233.124217088334,139.21342157106
04261d2791,321.59966600993,234.705239529529,40.0335407883451,317.150971969145,240.120429127303,124.82349563765
04261d2805,324.911286161501,238.346155385907,38.6759983161972,319.163711992783,242.630638621011,122.773449756513
04261d2806,325.894751309824,235.928316809621,40.7128272843443,319.948663429134,241.816080355227,125.741053188064
04261d3139,314.62035752544,236.118070024135,39.0168706180667,322.545600027136,239.426777580987,124.608254954001
04261d3141,314.353545375792,234.712085385609,41.4710898043553,326.012321126119,239.389086726259,129.045537792174
04261d3148,317.542994455458,238.182404693691,39.0645477699724,327.631865555346,242.115896460274,129.024022853835
04261d3176,315.864722459206,234.310466615934,38.4403270081991,324.932090283911,235.663965080306,123.616198811779
04261d3177,314.181657571386,234.670704724757,36.7526018921584,324.344560131253,239.903308963831,118.880303392638
